epsilon,dp_res,wasserstein_distance,mse,std,msd
0.5,True,0.04257393105511599,0.1222183171947226,0.28543073653348294,-0.20186037708444932
1.0,True,0.031877192799321004,0.06004833264015886,0.15042229619320496,-0.19344628569223699
1.5,True,0.02866864432973342,0.04673568691692837,0.09258461543188864,-0.19535551157379122
3.0,True,0.03307779159428724,0.04133063921953783,0.05102114103416562,-0.19679299374497458
5.0,True,0.032367835390793256,0.04009242835458331,0.028916293821645993,-0.1981319668963177
0.5,True,0.04257393105511599,0.1222183171947226,0.28543073653348294,-0.20186037708444932
1.0,True,0.031877192799321004,0.06004833264015886,0.15042229619320496,-0.19344628569223699
1.5,True,0.02866864432973342,0.04673568691692837,0.09258461543188864,-0.19535551157379122
3.0,True,0.03307779159428724,0.04133063921953783,0.05102114103416562,-0.19679299374497458
5.0,True,0.032367835390793256,0.04009242835458331,0.028916293821645993,-0.1981319668963177
0.5,True,0.04257393105511599,0.1222183171947226,0.28543073653348294,-0.20186037708444932
1.0,True,0.031844599022462575,0.06003707036533899,0.15042677336498983,-0.19341369191537858
1.5,True,0.02861072392261474,0.04671043079886476,0.0925704147304094,-0.19529759116667253
3.0,True,0.033100540128326514,0.041341358796720136,0.051038440296319126,-0.19681574227901388
5.0,True,0.03250117738466989,0.040134448422758394,0.02872830857245537,-0.19826530889019436
